rnc/jmh-benchmarks;1.5.2
RoaringBitmap/RoaringBitmap;
robinst/autolink-java;1.21
robinst/microbenchmarks;1.17.3
rodolfodpk/myeslib2;1.5
RodrigoRubino/DC-UFSCar-ES2-201601-Grupo-Brainstorm;
rolve/better-checks;1.16
rsby/gunmetal;1.11.2
rslemos/cobolg;1.11.3
rslemos/pet-grammars;1.11.3
rsocket/rsocket-java;0.9
RTBHOUSE/avro-fastserde;1.21
RTBHOUSE/neural-network-native-ops;1.11.3
ruediste/salta-benchmark;1.6.1
runidle/runidle-testing;1.15
ruslan-sverchkov/aho-corasick;1.13
rxin/jvm-unsafe-utils;1.6.2
s4ke/moar;1.17.2
sajato/logw;1.0
salyh/jsr353-benchmark;1.10.2
Sandyarathi/Lab2gRPC;0.9
sangupta/gather;1.19
sboesebeck/morphium;1.21
sbwdlihao/chainj;1.17.3
SeanPMiller/containers;1.4.1
SerCeMan/jmh-spring;0.9
shalinmangar/solr-jmh-tests;1.10.4
shunfei/indexr;1.11.2
simonpatrick/stepbystep-java;0.5.3
SlimRoms/android_external_okhttp;1.4.1
smarr/GraalCompiler;
smoketurner/graphiak;1.17.4
smoketurner/notification;
smoketurner/uploader;
snazy/ohc;1.21
snikiforov4/try-geolocation;1.19
SoatGroup/benchamrk-lambda;1.5.2
sormuras/treasure;
sparkoo/Java-Grande-JMH;1.19
spiffykahuna/TIJ4-code_idea;1.5.2
spotify/apollo;1.21
spotify/completable-futures;1.11.3
spotify/missinglink;1.9.2
spotify/netty-zmtp;1.9.3
spotify/sparkey-java;1.21
spriet2000/handlers;1.11.2
spriet2000/vertx-http-router;1.11.2
spring-cloud/spring-cloud-sleuth;1.16
springside/springside4;1.14
square/okio;
Squarespace/less-compiler;1.11.1
Squarespace/template-compiler;1.19
SquidPony/SquidLib;1.21
srvaroa/jbcnconf;1.12
ssaarela/javersion;1.11.3
stagemonitor/stagemonitor;1.21
stewsters/stewsters-util;1.19
structlogging/structlogger;1.19
sujanctg2005/test-project;1.11.3
svenruppert/rapidpm-microservice;
Swrve/rate-limited-logger;1.5.1
taichi/jmh-gradle-ide;1.1
taichi/json-benchmarks;1.1
takari/bpm;1.12
tallerjavaunicen/TallerJava;1.21
taojiaenx/netty-source-study;0.9
tdunning/t-digest-benchmark;1.17.3
Techcable/Event4J;1.12
TechEmpower/misc;1.13
tempredirect/GeoFun;1.0.1
terma/fast-select;1.19
terma/mutable-fast-select;1.19
thaibui/algorithms-core;1.11.3
thejotta/CloudSimPlusModificado;1.14
thesmythgroup/SiftXml;1.4.2
thheller/shadow-pgsql;
ThomasKrieger/benchmarks;1.0
ThreeTen/threeten-bench;1.4.1
thymeleaf/thymeleaf-benchmarks;1.12
tinyj/tinyj-lazy;1.17.4
titorenko/quick-csv-streamer;1.19
tkowalcz/openjdk-jmh;1.9.3
tkowalcz/presentations;1.9.3
tmontgomery/nuklei;0.9.2
tobijdc/PRNG-Performance;1.12
togglz/togglz;1.12
tommyettinger/sarong;1.21
tomwhoiscontrary/sarcoptic;1.17.4
tools4j/decimal4j;
tootedom/herdcache;1.19
tramchamploo/buffer-slayer;1.20
traneio/future;1.17.4
trautonen/logback-ext;1.10.5
TridentSDK/Trident;0.9
TridentSDK/TridentSDK;1.12
ttsiodras/HexSpeak;
TU-Berlin-SNET/tresor-pdp-caching;1.10.3
tudorv91/SparkJNI;1.17.2
tweakers-dev/objectpool-benchmarks;1.11.2
twitter/hpack;1.7.1
txazo/java;1.15
tzaeschke/distributed-phtree;1.1.1
uber/h3-java;1.19
uber/tchannel-java;1.19
uchuhimo/kotlin-playground;1.19
udoprog/scribe;1.9.3
udoprog/tiny-async-java;1.17.4
udoprog/tiny-serializer-java;1.10.4
uliashkevich/native-struct;1.12
user405/test;1.5.2
uujava/cqengine-query-jmh;1.15
Vanilla-Java/Microservices;1.12
Vedenin/java_in_examples;1.11.3
vgalloy/autocatch;1.21
vibneiro/dispatching;1.9.3
victor-cr/template-text-parser;1.17.3
victor-cr/threadlocal-benchmark;1.1.1
vietj/reactive-pg-client;1.19
viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-;
virsox/cepsim;1.9.2
VitrifiedCode/JavaUtilities;
vladimir-bukhtoyarov/bucket4j;1.18
vladimir-bukhtoyarov/rolling-metrics;1.14
vladimirdolzhenko/gflogger;1.3
vladimirdolzhenko/hashCodeLegend;1.18
vlsi/compactmap;1.21
volkodava/disruptor-benchmark-tests;1.12
volodarsky/zephyr-benchmark;1.10.3
volodin-aa/openjdk-benchmark;1.12
vongosling/jvm-serializer;1.13
vsch/flexmark-java;1.13
vsonnier/hppcrt;1.21
waffle/waffle;1.21
wallerlab/yoink;
wavesoftware/java-eid-exceptions;1.16
wenerme/seq;1.11.2
wesamhaboush/furmat;1.11
wesleyegberto/courses-projects;1.11.2
whitingjr/batch-rewrite-statements-perf;1.6.1
willhaben/blog;1.11.2
witi83/jmh-primitive-data-types;1.1.1
witi83/jmh-streams;1.1.1
wondee/faststring;0.9.5
Workiva/frugal;1.13
wotifgroup/wotif-logutils;1.0
x-stream/xstream;1.21
xiajunsongfan/scud;1.15
XueweiKent/LockedTransaction;
xzy256/grpc-java-mips64;1.12
y-lan/presto;0.7.1
yanchith/pattern;1.10.5
yandex/yoctodb;1.21
yshahun/probabilistic-util;1.3.1
yulang/Modified-Parquet;1.3.4
Zappos/zappos-json;1.11.3
zapster/graal-core;
zzuhtzy/okio-source-read;1.4.1
