jad7/AtomicIncrementBenchmark;1.7;
jajir/jblinktree;1.8;1.8
jasobrown/barker;1.7;
Java-Courses/collections-m0e4;1.8;
java8/Java8InAction;9;9
Javalbert/faster-than-reflection;1.8;
Javalbert/sql-builder-orm;1.8;
jayjaykim/jmh-sample;1.8;
jayjaylab-benchmark/retrofitvsokhttp;1.6;
jayware/entity-essentials;1.6;1.6
jchambers/java-otp;1.8;1.8
jchambers/jeospatial;1.7;1.7
jchambers/jvptree;1.7;1.7
JCTools/JCTools;;
jenetics/jenetics;1.8;1.8
jenetics/prngine;;
jerrinot/FieldMagic;1.8;1.8
JervenBolleman/java-benchmarks;1.8;
JetBrains/xodus;;1.7
JetBrains-Research/viktor;;
jfaleiro/keyvalue;;1.8
jgrapht/jgrapht;1.8;1.8
jharting/weld-collections-benchmark;1.8;1.8
jhawo82882/MDP3Sample;;
Jiri-Kremser/inventory-benchmark;1.8;1.8
jjenkov/iap-tools-java-benchmarks;1.8;
jkirsch/spex;1.8;1.8
jmiettinen/jradixheap;1.7;1.7
jmnarloch/trie;;1.7
jnordwick/zerog-grisu;;
johnlcox/motif;;
jon-hanson/funcj;;
josegom/training;1.7;1.7
joyent/java-http-signature;;
joyent/java-manta;;
jpaw/bonaparte-java;1.8;1.8
jpaw/fixedpoint;;
jpaw/jdp;;
jpaw/jpaw;1.6;1.6
jpaw/jpaw8;;
json-iterator/java;1.6;1.6
jsubercaze/simhashdb;1.7;1.7
jsurfer/JsonSurfer;1.7;1.7
jthelin/orbit;1.8;
junkdog/artemis-odb;1.7;1.7
junkdog/entity-system-benchmarks;1.7;1.7
jvcaquino/DC-UFSCar-ES2-201601-Grupo6;1.8;1.8
jvz/nio-logger;1.8;
kaazing/gateway;1.8;1.8
karlicoss/autohash;1.7;1.7
kaustubh-walokar/grpc-poll-service;1.6;1.6
kawasima/copyfile-benchmark;1.8;1.8
kennyledet/Algorithm-Implementations;;
kevoree-modeling/benchmark;1.8;1.8
kgilmer/XMLObjectIterable;1.7;1.7
kickass-jmh/riviera;1.8;1.8
kiegroup/kie-benchmarks;1.8;1.8
kno10/reversegeocode;1.8;1.8
komiya-atsushi/fast-rng-java;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
konik-io/itext-carriage;;
konik-io/konik;;1.8
konik-io/pdfbox-carriage;;
konmik/collection-benchmark;;1.8
Konstantin8105/Triangulation;1.8;1.8
kpavlov/fixio;;
krystian-k/java-feature-bench;;
kvnxiao/kommandant;1.8;1.8
kvr000/zbynek-concurrent-pof;;
kvr000/zbynek-java-exp;;
Lawrence-zxc/springStarter;1.7;1.7
leeyikjiun/blog;1.6;
Leibnizhu/spring-boot-starter-netty;;
lemire/microbenchmarks;1.8;1.8
Lessnic/CAISS;;JavaVersion.VERSION_1_8
lettuce-io/lettuce-core;1.8;1.8
lexas2509/perf;1.6;
lhyqie/rtree;1.6;
line/armeria;1.8;1.8
LiveMyKarma/Finalizer;1.8;
lmdbjava/benchmarks;;
loxal/template;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
lucwillems/JavaLinuxNet;;
m0wfo/false-sharing-demo;1.8;1.8
magneticflux-/gridsim;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
manhcuongkd/blynk-server;1.8;1.8
manoelcampos/cloudsim-plus;1.8;1.8
marcelmay/hadoop-hdfs-fsimage-exporter;1.8;1.8
marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld;1.8;1.8
MaridProject/typedmap;1.8;1.8
marklogic/marklogic-jena;;
marklogic/marklogic-sesame;1.7;1.7
marschall/charsequences;;
marschall/line-parser;;
marschall/mini-commons;;
marschall/sets;1.8;
marsorp/blog;;
Mart-Bogdan/vertx-hello;;1.8
MartinanderssonDotcom/money-profiling;;1.8
matthew-dailey/java-playaround;1.8;1.8
maxdemarzi/ChronicleGraph;1.8;1.8
maxdemarzi/graph_processing;1.8;1.8
maxdemarzi/GuancialeDB;1.8;1.8
maxdemarzi/neo_dislikes;1.7;1.7
maxifier/mxcache;;
maximenajim/nashorn-react-jmh-microbenchmark;1.6;
mbosecke/pebble-benchmark;1.7;1.7
mbosecke/template-benchmark;1.7;1.7
mdhorton/experiments;;
meghana0507/grpc-java-poll;1.6;1.6
melix/jmh-gradle-plugin;1.8;1.8
Mercateo/json-schema;;
Mercateo/reflection;1.8;1.8
Mercateo/rest-schemagen;1.8;1.8
MeteoGroup/jbrotli;1.7;1.7
michaelhixson/jmh-benchmark-listof;1.8;
michaljonko/blog-examples;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
micrometer-metrics/micrometer;;
mikeb01/scratch;1.8;
mikvor/hashmapTest;1.8;
mini2Dx/mini2Dx;1.8;1.8
mjeffrey/log-sanitizer;1.8;
mkosem/stringsplitting;1.8;1.8
mkraemerx/algorithm-art;1.6;
Mojang/blixtser;1.7;1.7
mono-plane/presto;;
MorganBauer/java-experiments;1.8;1.8
mourao666/cassandra-sim;;
moves-rwth/attestor-examples;1.8;1.8
mox601/mybatis-pool-jmh;1.7;
mp911de/logstash-gelf;1.6;1.6
msteindorfer/criterion;9;9
msteindorfer/oopsla15-artifact;1.8;1.8
mweirauch/micrometer-jvm-extras;;
myzhan/locust4j;1.7;1.7
n1analytics/javallier;;
Nawy/UnsafeCollections;;
neo4j-contrib/neo4j-graph-algorithms;1.8;1.8
neo4j-contrib/neo4j-jdbc;;
neowu/core-ng-demo-project;12;12
nesteant/java-tests;1.8;1.8
Netflix/Hystrix;1.6;1.6
Netflix/servo;1.8;1.8
Netflix/spectator;1.8;1.8
netty/netty;1.8;1.8
netzwerg/paleo;1.8;1.8
nextopcn/lite-pool;1.8;1.8
nickman/json-benchmark;1.7;
nickman/UnsafeAdapter;1.6;1.6
nicoulaj/jmh-utils;;
nielsbasjes/yauaa;;
nikarh/equals-builder;1.8;1.8
nithril/packedobject-test;1.8;1.8
nithril/sandbox-query-benchmark-jooq-hibernate-jdbc;;
nitram509/intellij-idea-plugin-serializer-toolbox;1.7;1.7
nitsanw/jmh-samples;1.8;1.8
nitsanw/safepoint-experiments;1.6;
nobeh/jmh-forked-main-threads;1.8;
nom-tam-fits/nom-tam-fits;1.6;1.6
notsyncing/lightfur;;1.8
npetzall/persistent-queue;1.8;1.8
numenta/htm.java;1.8;1.8
oblac/jodd;1.8;1.8
octabase/fnr-java;1.6;1.6
opendaylight/controller;;
opendaylight/yangtools;;
OpenFeign/feign;1.8;1.8
OpenHFT/Chronicle-Algorithms;1.8;1.8
OpenHFT/Chronicle-Logger;1.8;1.8
OpenHFT/Chronicle-Wire;1.8;1.8
OpenHFT/jvm-micro-benchmarks;1.8;
openrq-team/OpenRQ;;
openzipkin/zipkin-reporter-java;1.8;1.8
openzipkin/zipkin;1.8;1.8
optimatika/ojAlgo-linear-algebra-benchmark;1.8;
optimizely/java-sdk;1.8;1.8
oracle/graal;;
orfjackal/cqrs-hotel;;
outbrain/prometheus-client;;
PacktPublishing/Mastering-Mesos;1.7;1.7
palantir/atlasdb;1.8;1.8
paninij/paninij;1.8;1.8
pantsbuild/pants;;
paritytrading/parity;;
paritytrading/philadelphia;;
patrickfav/bytes-java;1.7;1.7
pdemanget/examples;1.8;1.8
peptos/traffic-shm;1.6;1.6
person-lee/nlp;;
peterszatmary/jmh-benchmark-demo;;
PhantomThief/more-lambdas-java;;
PhantomThief/scope;1.8;1.8
PhantomThief/simple-failover-java;1.8;1.8
PhillHenry/palgorithms;;
pietermartin/sqlg;1.8;1.8
pinterest/jbender;1.8;1.8
Pitt112/night-hawk;1.8;1.8
planetsizebrain/stringbundler-tests;1.7;
platan/idea-gradle-dependencies-formatter;;
plokhotnyuk/scala-vs-java;;
pombreda/btrace-hg;1.8;1.8
prasanthj/bloomfilter;1.8;1.7
prasanthj/hasher;1.7;
presidentio/test-data-generator;1.7;1.7
prestodb/presto;;
prestosql/presto;;
promeG/TinyPinyin;1.6;1.6
prometheus/client_java;1.6;1.6
protobufel/multikeymapjava;1.8;1.8
protobufel/protobuf-el;1.7;1.7
protostuff/protostuff;1.6;
puniverse/quasar;11;10
Querables/querables-java;1.8;1.8
rabbitmq/rabbitmq-perf-test;1.8;1.8
rafamonteiro/SerializationProtocolsBenchMark;1.8;
raphw/byte-buddy;JavaVersion.VERSION_1_7;1.5
raviprak/JAVABench;1.8;
raydac/java-binary-block-parser;1.6;1.6
ReactiveX/RxGroovy;;
ReactiveX/RxJava;JavaVersion.VERSION_1_6;JavaVersion.VERSION_1_6
ReactiveX/RxJavaParallel;JavaVersion.VERSION_1_6;JavaVersion.VERSION_1_6
reactor/reactive-streams-commons;1.8;1.8
reactor/reactor-core;1.8;1.8
reaktivity/nukleus-tcp.java;9;9
reaktivity/nukleus.java;9;9
real-logic/benchmarks;;
real-logic/simple-binary-encoding;1.8;1.8
reific/braid;1.6;
relayrides/pushy;1.7;1.7
ReneNeubert/gradle-java-template;1.8;1.8
renoth/texxxxas;;
requery/requery;1.7;1.7
rerorero/oleoleflake;;1.8
resilience4j/resilience4j;1.8;1.8
restfb/restfb-benchmark;1.6;
rgorodischer/microbenchmarks;1.8;1.8
ricdong/presto;;
